prenom,nom,Sexe,domicile,birthdate
Dania,Cullin,F,Malmö,1999-12-11
Anthia,Velick,M,Barcelona,2010-11-11
Taffy,Halsey,F,City of San Marino,1941-09-06
Valli,MacIntosh,F,Charlotte Amalie,2010-10-21
Gabi,Isidore,M,Novosibirsk,1976-11-18
Carly,Pascia,M,Rotterdam,1992-03-17
Mathilda,Vharat,F,Denpasar,1931-10-22
Ernesta,Palocz,F,Santiago de Cuba,1936-03-07
Deloria,Maurine,F,Cebu City,2013-04-29
Belva,Dawkins,F,Labasa,1961-05-24
Carilyn,Urania,F,Graz,1950-08-24
Edee,Kat,F,Vitória,1948-04-22
Regina,Phyllis,F,Perth,1975-06-12
Candy,Holtz,M,San Fernando,1937-05-31
Alisha,Terencio,M,Murmansk,1937-04-25
Sabina,Minetta,F,Mendoza,1988-01-10
Leeanne,Chauncey,M,Yangon,1985-08-20
Claresta,Keily,M,Cebu City,2008-02-11
Addia,Barney,M,Vilnius,1997-08-14
Berta,Bord,F,Birmingham,1931-11-28
Binny,Rosemary,M,Tabriz,2011-08-14
Priscilla,Callista,F,Multan,2017-07-19
Hope,Clarissa,F,Magadan,2006-12-03
Daune,Bigner,M,Whitehorse,1966-11-13
Deloria,Ariella,F,Ciudad del Este,1964-01-06
Aaren,Atonsah,M,Kraków,1939-02-14
Aili,Israeli,F,Vancouver,1948-09-10
Marsiella,Magdalen,M,Hanover,1941-03-31
Alex,Herrera,M,Taipei,2000-11-19
Andree,Bendick,M,New Delhi,2010-05-11
Elbertina,Wolfgram,F,Mendoza,1954-05-16
Alyssa,An,F,Kingston,1948-10-21
Emilia,Olnee,F,Tskhinvali,1935-11-20
Courtnay,Hepsibah,F,Turin,1936-11-08
Elbertina,Janene,M,Dalian,1964-10-01
Jordan,Burnside,M,Ciudad del Este,1937-07-23
Cyndie,Land,M,Paramaribo,1975-12-20
Ellette,Maribeth,F,Dushanbe,1931-11-29
Clementine,Zola,M,Tehran,1980-04-30
Gerianna,Esmaria,M,Cuiabá,2011-04-22
Mellicent,Lubin,M,Road Town,1993-08-20
Leontine,Lia,F,Puebla,1999-08-16
Rivalee,Toffic,M,Lubumbashi,1973-09-28
Kittie,Verger,M,Istanbul,1939-11-14
Kylynn,Longfellow,M,Angra do Heroísmo,1962-04-12
Nariko,Eiser,M,Mogadishu,1972-02-21
Janis,Donell,F,Calama,1962-05-11
Brietta,Radu,F,Cape Town,1958-01-29
Violet,Hamil,M,Norilsk,1984-07-01
Dyann,Dearborn,F,Daegu,2009-10-15
Fayre,Sisile,F,Dongguan,2001-07-21
Molli,Joni,F,Cologne,2003-08-08
Ronna,Lutero,F,Brasília,2018-12-23
Cristabel,Zenas,M,Suva,1968-04-10
Marjie,Jess,M,Quetzaltenango,2015-08-01
Binny,Land,F,Algiers,1978-03-13
Quintina,Delila,M,Antwerp,1974-10-11
Jessamyn,Hortensia,F,Banjul,1944-05-26
Fernande,Noelyn,M,Monterrey,1998-06-10
Sarette,Telfer,F,Melekeok,1965-05-29
Ariela,Killigrew,M,Barcelona,1938-10-08
Lanae,Rozanna,M,Shillong,1959-08-14
Rori,Ivens,F,Casablanca,1996-11-15
Vivia,Lorain,M,Quito,1961-10-15
Gianina,Kauppi,F,Hangzhou,1954-09-03
Aimil,Dichy,M,Mendoza,1988-10-24
Katharina,Kravits,M,Valletta,1945-06-09
Gerrie,Olin,M,Petropavlovsk-Kamchatsky,1945-12-18
Doro,Chick,F,Lobamba,2000-08-05
Dawn,Orpah,F,Paramaribo,1953-11-15
